step,loss,lr,tokens_per_sec,mem_gb,entropy
3470,1.0148,1.7e-05,11521,8.4,1.386
3480,0.9561,1.7e-05,11516,8.4,1.386
3490,0.9326,1.7e-05,11506,8.4,1.386
3500,0.9076,1.7e-05,11508,8.4,1.386
3510,0.8463,1.7e-05,11505,8.4,1.386
3520,0.8879,1.7e-05,11303,8.4,1.386
3530,0.7955,1.7e-05,11500,8.4,1.386
3540,0.9087,1.7e-05,11507,8.4,1.386
3550,0.9586,1.7e-05,11509,8.4,1.386
3560,0.8574,1.7e-05,11504,8.4,1.386
3570,0.9386,1.7e-05,11289,8.4,1.386
3580,0.8434,1.7e-05,11491,8.4,1.386
3590,0.8704,1.7e-05,11497,8.4,1.386
3600,0.9899,1.7e-05,11511,8.4,1.386
3610,0.9494,1.7e-05,11512,8.4,1.386
3620,0.9432,1.7e-05,11516,8.4,1.386
3630,1.012,1.7e-05,11289,8.5,1.386
3640,0.9416,1.7e-05,11507,8.4,1.386
3650,0.9112,1.7e-05,11513,8.4,1.386
3660,0.9809,1.7e-05,11499,8.5,1.386
3670,1.1026,1.6e-05,11511,8.4,1.386
3680,0.9728,1.6e-05,11517,8.5,1.386
3690,0.8567,1.6e-05,11288,8.4,1.386
3700,0.8966,1.6e-05,11498,8.4,1.386
3710,0.9028,1.6e-05,11500,8.4,1.386
3720,0.9392,1.6e-05,11499,8.4,1.386
3730,0.8999,1.6e-05,11511,8.4,1.386
3740,0.8612,1.6e-05,11514,8.4,1.386
3750,0.9456,1.6e-05,11306,8.5,1.386
3760,1.0025,1.6e-05,11504,8.4,1.386
3770,0.9217,1.6e-05,11500,8.4,1.386
3780,0.8433,1.6e-05,11489,8.4,1.386
3790,0.8838,1.6e-05,11517,8.4,1.386
3800,0.8957,1.6e-05,11494,8.4,1.386
3810,0.9139,1.6e-05,11297,8.4,1.386
3820,0.9273,1.6e-05,11509,8.4,1.386
3830,0.8377,1.6e-05,11496,8.4,1.386
3840,0.9414,1.6e-05,11524,8.4,1.386
3850,0.9461,1.6e-05,11513,8.4,1.386
3860,0.9698,1.6e-05,11511,8.4,1.386
3870,0.9157,1.6e-05,11256,8.4,1.386
3880,0.9118,1.6e-05,11508,8.4,1.386
3890,0.8931,1.6e-05,11497,8.4,1.386
3900,0.8688,1.6e-05,11497,8.4,1.386
3910,0.9487,1.6e-05,11489,8.5,1.386
3920,0.9085,1.6e-05,11235,8.4,1.386
3930,1.0006,1.6e-05,11526,8.4,1.386
3940,0.9402,1.6e-05,11511,8.4,1.386
